date,content
2025-10-02,サイト公開
2025-10-03,THE MANZAI を追加しました。
2025-10-04,キングオブコント 2018〜2024 および、しずるの決勝全ネタを追加しました。
2025-10-05,芸人の読みを追加しました。
2025-10-06,芸人一覧を追加しました。
2025-10-07,キングオブコント2024のみ、審査員別得点を追加しました。
2025-10-08,審査員別得点に色付けをしたほか、列ごとにソートできるようにしました。\nまた、スマートフォンなどの環境でもある程度見やすくなるよう表をコンパクトにしました。
2025-10-09,"審査員別得点を\n・M-1 2015〜2024 1本目\n・KOC 2015〜2023 1,2本目\n・R-1 2021〜2025 1本目\nにも記載しました。"
2025-10-10,お問い合わせフォームを設置しました。
2025-10-11,キングオブコント2025 決勝結果を更新しました。
2025-10-12,キングオブコント2017のネタ名を追加しました。
2025-10-13,キングオブコント2016のネタ名を追加しました。
2025-10-14,キングオブコント2015のネタ名を追加しました。
2025-10-15,各大会の年ごとのページに、前大会・翌大会に遷移できるボタンを追加しました。
2025-10-16,キングオブコント2014のネタ名を追加しました。
2025-10-17,ABCお笑いグランプリを追加しました。
2025-10-18,ツギクル芸人グランプリを追加しました。
2025-10-19,NHK新人お笑い大賞を追加しました。
2025-10-20,表が読みやすくなるように修正を行いました。
2025-10-21,マイナビ Laughter Night チャンピオンLIVE を追加しました。
2025-10-22,キングオブコント2013のネタ名を追加しました。
2025-10-23,芸人の別名義に対応し、改名前後や別名義での大会出場情報が同一ページで確認できるようになりました。
2025-10-24,芸人の所属するユニットや所属するメンバーへのリンクを追加しました。
2025-10-25,M-1グランプリの準決勝進出情報を追加しました。
2025-10-26,令和7年度NHK新人お笑い大賞 結果 を追加しました。
2025-10-27,THE SECOND グランプリファイナルの結果を追加しました。
2025-10-28,キングオブコントの準決勝進出情報を追加しました。
2025-10-29,M-1 全大会の得点詳細・得票詳細を追加しました。
2025-10-30,M-1グランプリ2025 大阪準々決勝進出組を追加しました。
2025-10-31,THE SECOND ベスト16・ベスト32進出組を追加しました。
2025-11-01,グループに所属する個人名を追加しました。
2025-11-02,M-1グランプリ2024 準々決勝進出組と、その個人名を追加しました。
2025-11-03,M-1グランプリ2023 準々決勝進出組と、その個人名を追加しました。\nまた、\n・関連ユニット（所属メンバーが所属するユニット）\n・関連メンバー（所属ユニットに所属するメンバー）\nの表示を追加しました。
2025-11-04,THE W 歴代決勝結果を追加しました。
2025-11-05,THE W 2025 を追加しました。
2025-11-06,M-1グランプリ2022 準々決勝進出組と、その個人名を追加しました。
2025-11-07,M-1グランプリ2025 東京準々決勝進出組と、その個人名を追加しました。
2025-11-08,ラフターナイト 第11回チャンピオンLIVE の結果を追加しました。
2025-11-09,M-1グランプリ2020・2021 準々決勝進出組と、その個人名を追加しました。
2025-11-10,M-1グランプリ2019 準々決勝進出組と、その個人名を追加しました。
2025-11-11,M-1グランプリ2018 準々決勝進出組と、その個人名を追加しました。
2025-11-12,M-1グランプリ2017 準々決勝進出組と、その個人名を追加しました。
2025-11-13,M-1グランプリ2016 準々決勝進出組と、その個人名を追加しました。
2025-11-14,M-1グランプリ2015 準々決勝進出組と、その個人名を追加しました。
2025-11-15,M-1グランプリ2010 準々決勝進出組と、その個人名を追加しました。
2025-11-16,芸人詳細ページに、M-1グランプリのコンビ情報ページへのリンクを追加しました。\nM-1 2010 以降に準々決勝以上に進出していてページが存在する組についてはすべて対応していると思います。
2025-11-17,大会年別ページに目次を追加しました。
2025-11-18,トップページのレイアウトを変更し、大会ごとにカード表示させました。
2025-11-19,THE MANZAI 2011 認定漫才師を追加しました。
2025-11-20,M-1グランプリ2025 準決勝進出組を追加しました。
2025-11-21,芸人詳細ページで表を年ごとに表示する機能を追加しました。
2025-11-22,THE MANZAI 2012〜2014 認定漫才師を追加しました。
2025-11-23,歌ネタ王決定戦 を追加しました。
2025-11-24,UNDER5 AWARD を追加しました。
2025-11-25,R-1グランプリ 2021〜2025 準決勝進出者 を追加しました。
2025-11-26,芸人一覧にユニット・個人のフィルター機能と件数表示を追加しました。
2025-11-27,芸人一覧にM-1・KOC結果のフィルターを追加しました。
2025-11-28,水曜日のダウンタウン 30-1グランプリ の結果とネタ名を追加しました。
2025-11-29,R-1ぐらんぷり 2018〜2020 準決勝進出者を追加しました。
2025-11-30,R-1ぐらんぷり 2016・2017 準決勝進出者を追加しました。
2025-12-01,R-1ぐらんぷり 2015 準決勝進出者を追加しました。
2025-12-02,R-1ぐらんぷり 2013・2014 準決勝進出者を追加しました。
2025-12-03,R-1ぐらんぷり 2011・2012 準決勝進出者を追加しました。
